time,L_evals,NL_iter,TotalEnergy,dt,nodes,numDOFs,dfdt
667.1183096548,110403,6,717.5241353639,3.9790073727,15517,178428,-1.08367174444021E-05
683.0343391457,112555,4,703.5071461161,0.9947518432,14965,171858,-2.20170948661659E-05
689.2888413597,119262,4,690.2536362096,0.2611223588,14349,164580,-5.29758782273762E-05
690.1898383672,119920,3,680.4293592177,0.083316413,13912,159366,-0.0002725946
691.2901805013,120429,3,677.2890292243,0.1357136575,14305,164082,-7.13489444816086E-05
693.0825218911,121035,4,672.7212920982,0.2210632475,14249,163422,-6.37118736430318E-05
694.3155090623,121768,3,662.3029155777,0.0639770855,13413,153366,-0.0002112426
695.1604408134,122245,3,660.0667083933,0.1042119308,14531,166842,-6.61653199040075E-05
696.5367456028,122785,3,657.9477449097,0.1697502541,15016,172650,-3.84900840997435E-05
698.778601079,123412,3,655.7891754251,0.2765052767,15266,175734,-2.40712381710924E-05
702.4303474183,124136,3,653.7739820059,0.4503979596,15678,180690,-1.3796093923855E-05
708.3786574086,124987,3,652.1602375854,0.7336508163,16461,189996,-6.7823651722727E-06
718.0678275903,126014,3,651.0993437386,1.1950398725,16905,195360,-2.7373186426089E-06
733.8504648372,127245,3,650.3931962532,1.9465940271,16588,191244,-1.11855115576321E-06
759.558717845,128667,3,649.7351250103,3.1707965513,15593,179748,-6.39941619856134E-07
801.4347530333,130366,3,649.0152278309,5.164893465,15626,180180,-4.29778736324279E-07
869.6464017423,132409,3,648.2053857883,8.4130672131,15738,181770,-2.96812222658411E-07
978.3263045264,134982,3,647.2997392643,13.0514285506,16052,185562,-2.08328886196916E-07
1000,135473,3,647.1351603804,7.9696954955,15547,179490,-1.89837127833662E-07
1123.4307329855,138047,4,646.2325959554,17.4901625046,16208,187650,-1.82807880008691E-07
1298.3323580313,142030,4,644.8916539945,17.4901625046,16413,190338,-1.91670883642296E-07
1473.2339830771,146020,4,643.2579609589,17.4901625046,16638,193074,-2.33515988648216E-07
1648.1356081229,149995,4,641.1852806868,17.4901625046,15145,175188,-2.96263724185988E-07
1823.0372331687,153973,4,638.4624615018,17.4901625046,14764,170562,-3.89192951232868E-07
1997.9388582145,157956,4,634.7231838116,17.4901625046,14261,164502,-5.3448298281402E-07
2000,158099,3,634.6434419467,2.0611417855,14529,167784,-9.67204991318551E-07
2157.4114625412,161669,4,629.8748571881,17.4901625046,14574,168306,-7.57343950949876E-07
2332.313087587,166327,6,621.6842871083,17.4901625046,14463,167118,-1.17073956254055E-06
2480.9794688759,171902,4,609.5012806293,4.3725406261,13191,151764,-2.04871578453824E-06
2524.7048751374,174500,4,602.2308099343,4.3725406261,13271,152820,-4.15689144858875E-06
2561.8714704596,177503,3,591.3553241911,1.0931351565,13354,153822,-7.3153631970588E-06
2573.3493896033,179348,6,583.6404243346,1.1477919144,13263,152682,-1.68037859473958E-05
2576.6528782068,180829,3,570.2829863345,0.0753238444,11204,128286,-0.0001010858
2577.6476641878,181173,2,568.0282689332,0.1226946054,12359,141966,-5.66633789672929E-05
2579.268065727,181757,3,566.3072416268,0.1998565834,14344,165684,-2.65524819738471E-05
2581.9075290874,182459,3,564.6715708282,0.3255453149,15508,179796,-1.54924559962649E-05
2586.2069367728,183287,3,563.0416997203,0.5302790142,15691,181956,-9.47730028897141E-06
2593.2102188498,184317,3,561.4880550172,0.8637686369,15907,184566,-5.54613067850842E-06
2604.617827395,185588,3,560.1504909975,1.4069880914,16237,188634,-2.93129803315099E-06
2623.1996196585,187155,3,559.1945712448,2.2918353421,16723,194358,-1.28609735156934E-06
2653.4674012324,189110,3,558.5031391266,3.7331582742,14644,169698,-5.71095800762524E-07
2702.7704280027,191731,4,557.7686435047,6.0809214537,14466,167496,-3.72439417006775E-07
2779.2556045645,194583,3,556.7183871862,9.4335050303,14538,168630,-3.43287538102669E-07
2881.7742204811,198551,4,555.5002217682,10.4004392959,14398,166998,-2.97059565016223E-07
2988.8987452288,202516,4,554.1649340229,10.9204612607,14484,168108,-3.11620459557453E-07
3000,202985,3,554.001759105,0.1807935105,14372,166716,-3.67469536784442E-07
3087.3636900855,206198,4,552.8494673977,10.9204612607,12671,146610,-3.29739879958227E-07
3196.5683026923,210211,4,551.1048548418,10.9204612607,12970,150240,-3.99390766162406E-07
3305.7729152991,214243,4,549.0899601962,10.9204612607,13035,151044,-4.61265920351934E-07
3414.977527906,218207,4,546.6488220571,10.9204612607,13038,151026,-5.58845015976394E-07
3524.1821405128,222160,4,543.7442518973,10.9204612607,13018,150798,-6.64937608956179E-07
3633.3867531197,226068,4,540.0788984284,10.9204612607,13121,152082,-8.39102255264627E-07
3742.5913657265,230005,4,535.1883576115,10.9204612607,13175,152748,-1.11958201675709E-06
3851.7959783333,233931,4,528.4091709321,10.9204612607,13308,154428,-1.55194604824043E-06
3961.0005909402,238300,5,517.6201939679,10.9204612607,13262,153882,-2.46989955521079E-06
4037.4438197649,242739,4,502.4986021323,2.7301153152,12625,146298,-4.94536666888343E-06
4064.7449729167,245954,14,487.6866219165,2.7301153152,11394,131550,-1.35635115240484E-05
4068.4071666636,247040,4,475.0198949915,0.0447909544,8886,101616,-8.64695302902977E-05
4068.9705424745,247360,2,471.9363713577,0.0694854714,9318,106782,-0.0001368324
4069.8882223057,247771,3,470.3150190561,0.1131845109,10343,119034,-4.41698794730984E-05
4071.3830260518,248343,3,468.7579584745,0.1843656417,11836,137100,-2.60412208902415E-05
4073.817903842,249019,3,467.2396609275,0.3003122032,11947,138468,-1.55890528995018E-05
4077.7840631913,249822,3,465.7978200527,0.4891769341,12423,144204,-9.08839476554572E-06
4084.2445188442,250826,3,464.6194779491,0.7968176794,13284,154518,-4.55982583496681E-06
4094.7679203438,252096,3,463.8004982684,1.2979320366,13542,157686,-1.94561539992822E-06
4111.9094325019,253661,3,463.2886491809,2.1141945203,13769,160146,-7.46505154853248E-07
4139.8311495512,255585,3,462.881743491,3.4438000941,12672,147030,-3.64327244955531E-07
4185.312684423,257958,3,462.4995973418,5.6095874689,11994,138786,-2.10055657909928E-07
4259.3973121934,260813,3,462.0384643472,9.1374268866,11786,136296,-1.55610215124226E-07
4367.3895337929,264606,4,461.4167717833,11.1065994895,11335,130980,-1.43920681191663E-07
4479.5661886371,268771,4,460.8233108151,11.661929464,10941,126312,-1.32260355121176E-07
4596.185483277,272998,4,460.3436142718,11.661929464,10922,126108,-1.02833871704344E-07
4713.9709708634,277112,4,459.9966425785,12.2450259372,10875,125628,-7.36448310313866E-08
4836.4212302353,281353,4,459.6242091894,12.2450259372,10997,127170,-0.000000076
4958.8714896073,285594,4,459.3097223905,12.2450259372,11007,127302,-6.42070503837457E-08
5083.8013667315,289598,4,458.9809649488,13.5001410958,11063,128052,-6.57883945133338E-08
5218.8027776891,293848,4,458.5487679335,13.5001410958,11176,129306,-0.00000008
5359.8792521398,297976,4,458.0589616446,14.1751481505,11257,130278,-8.67980098856152E-08
5501.6307336453,302178,4,457.5859672433,14.1751481505,10980,126870,-8.3419657469624E-08
5643.3822151507,306419,4,457.0302861146,14.1751481505,11103,128364,-0.000000098
5785.1336966562,310655,4,456.3960641325,14.1751481505,11162,129096,-1.11854559707972E-07
5926.8851781616,314875,4,455.6334997124,14.1751481505,11186,129438,-1.34489673762411E-07
6068.6366596671,319101,4,454.7220622887,14.1751481505,11210,129708,-1.60745661002952E-07
6210.3881411726,323319,4,453.747467246,14.1751481505,11270,130446,-1.71884454447873E-07
6352.139622678,327506,4,452.5494849845,14.1751481505,11318,131022,-2.11282141256558E-07
6493.8911041835,331676,4,451.1337380945,14.1751481505,11326,131070,-2.49688199901645E-07
6635.642585689,335896,4,449.4439231172,14.1751481505,11367,131550,-0.000000298
6777.3940671944,339995,4,447.4830712047,14.1751481505,11409,132018,-3.45825647066567E-07
6919.1455486999,344075,4,445.046477482,14.1751481505,11502,133152,-4.29729851291799E-07
7060.8970302053,348119,4,442.092782551,14.1751481505,11574,134016,-5.20928405763691E-07
